,1,134,187,215,221,25,259,289,350,363,37,403,418,428,465,476,528,529,537,538,556,561,58,586,99
1,0.591,0.6509999999999999,0.037,0.43,0.8050000000000002,0.1689999999999999,0.0279999999999999,0.4049999999999998,0.4769642857142857,0.2039999999999999,0.1429999999999999,0.7679999999999998,0.474,0.9000000000000005,0.2529999999999999,0.2557777777777777,0.689,0.4113333333333333,0.494,0.68,0.2795714285714285,0.1834285714285714,0.5539999999999999,0.4129999999999999,0.7989999999999998
2,0.475,0.284,0.02,0.4375,0.4800000000000001,0.199,0.22,0.7510000000000001,0.6090000000000002,0.4835,0.2974444444444444,0.677,0.3829999999999999,0.9000000000000005,0.2443333333333333,0.0799999999999999,0.6260000000000001,0.2419999999999999,0.5169999999999999,0.711,0.3779999999999999,0.018,0.69,0.3758888888888888,0.4529999999999999
3,0.5210000000000001,0.5459999999999999,0.158,0.5399999999999999,0.7300000000000001,0.1559999999999999,0.1015714285714285,0.4936666666666666,0.5404444444444445,0.2209999999999999,0.191,0.2671984126984127,0.5700000000000001,0.9110000000000004,0.0909999999999999,0.1015555555555555,0.3245952380952381,0.2529999999999999,0.3745,0.511,0.1129999999999999,0.129,0.0629999999999999,0.3668888888888888,0.6589999999999999
4,0.148,0.3122777777777778,0.1036666666666666,0.525,0.666,0.25,0.1129999999999999,0.5303333333333333,0.4165714285714286,0.1349999999999999,0.011,0.6609999999999999,0.504,0.807,0.088,0.021,0.58,0.3719999999999999,0.5727857142857142,0.7799999999999998,0.0519999999999999,0.009,0.1229999999999999,0.415920634920635,0.8690000000000003
5,0.59075,0.3320000000000001,0.037,0.475,0.5499999999999999,0.0793333333333333,0.0429999999999999,0.5469999999999999,0.292,0.22,0.1729999999999999,0.4332499999999999,0.436,0.8420000000000002,0.131,0.285,0.6400000000000001,0.5293333333333332,0.3719999999999999,0.6630000000000001,0.4309999999999999,0.0859999999999999,0.7060000000000001,0.487,0.513
